,Symbol,Start Date,End Date,Buy Price,Sell Price,Change,Market Cap
10,CMI,2018-04-18,2018-05-30,156.58018493652344,134.33045959472656,-0.1420979631031651,Large
11,CMI,2018-06-04,2018-08-02,131.3941650390625,129.07652282714844,-0.01763885185635941,Large
12,CMI,2018-08-06,2018-09-12,130.9786834716797,132.2185516357422,0.009466182826082423,Large
13,CMI,2018-09-20,2018-11-29,140.38040161132812,139.02024841308594,-0.009689053333869567,Large
14,CMI,2018-12-10,2019-01-07,127.84796142578125,128.36387634277344,0.004035378517096561,Large
15,CMI,2019-01-09,2019-03-13,128.95486450195312,148.3258056640625,0.15021489291562154,Large
16,CMI,2019-03-18,2019-03-22,151.7183074951172,147.06895446777344,-0.03064464074313103,Large
17,CMI,2019-03-25,2019-04-30,147.84385681152344,157.14256286621094,0.0628954510199353,Large
18,CMI,2019-05-17,2019-07-16,150.48037719726562,164.01278686523438,0.0899280684964594,Large
19,CMI,2019-07-26,2019-07-30,166.2871856689453,157.18011474609375,-0.05476712403433465,Large
20,CMI,2019-07-31,2019-09-04,156.06671142578125,143.02183532714844,-0.08358525645513076,Large
21,CMI,2019-09-05,2019-12-02,148.48464965820312,175.2707061767578,0.18039613239626803,Large
22,CMI,2020-01-06,2020-02-21,168.37632751464844,163.2014923095703,-0.03073374554168206,Large
23,CMI,2020-02-27,2020-05-26,150.5320587158203,164.19041442871094,0.09073386645615036,Large
24,CMI,2020-05-27,2020-07-08,168.63143920898438,170.9993438720703,0.01404189322105827,Large
25,CMI,2020-07-15,2020-09-03,178.54515075683594,202.24168395996094,0.13272011646733414,Large
26,CMI,2020-10-08,2020-10-29,218.5052490234375,214.9757080078125,-0.016153117746138954,Large
27,CMI,2020-11-11,2020-11-27,232.23782348632812,227.75135803222656,-0.019318409838463207,Large
28,CMI,2020-12-07,2020-12-29,217.86685180664062,221.44674682617188,0.016431572723639706,Large
29,CMI,2021-01-07,2021-02-03,237.87452697753906,234.22500610351562,-0.015342209695147551,Large
30,CMI,2021-02-05,2021-02-08,228.34800720214844,237.2778778076172,0.03910640918168141,Large
0,CVS,2016-05-05,2016-12-28,91.90481567382812,69.73119354248047,-0.24126724991258616,Large
1,CVS,2017-01-10,2017-03-14,72.93367767333984,70.9072265625,-0.02778484748727531,Large
2,CVS,2017-03-20,2017-04-18,69.95751953125,69.45161437988281,-0.007231605047706128,Large
3,CVS,2017-04-20,2017-08-17,70.95230865478516,70.9281997680664,-0.0003397900248186505,Large
